track_id,n_frames,mean_area_px,growth_rate_px2_per_frame,mean_speed_px_per_frame,total_path_px,net_displacement_px
277,2,155.5,151.0,6.32,6.3,6.3
278,2,141.5,49.0,5.58,5.6,5.6
279,2,2149.5,-2363.0,25.44,25.4,25.4
280,2,312.0,42.0,5.77,5.8,5.8
281,2,719.0,930.0,13.47,13.5,13.5
282,2,448.0,-22.0,14.04,14.0,14.0
285,2,743.5,-1051.0,9.11,9.1,9.1
286,2,164.0,-50.0,16.05,16.1,16.1
288,2,4102.0,684.0,4.58,4.6,4.6
289,2,369.0,472.0,8.0,8.0,8.0
290,3,539.7,-124.5,12.26,24.5,20.7
292,2,3683.0,5898.0,11.14,11.1,11.1
295,2,3367.5,6535.0,30.52,30.5,30.5
297,2,2146.5,-545.0,22.06,22.1,22.1
298,2,1334.5,1903.0,18.84,18.8,18.8
300,5,12873.6,352.2,12.78,51.1,4.8
301,4,7205.8,1212.5,14.91,44.7,35.0
302,2,154.0,-84.0,19.79,19.8,19.8
303,2,568.0,114.0,14.08,14.1,14.1
306,2,298.5,-203.0,4.24,4.2,4.2
307,2,297.0,200.0,9.66,9.7,9.7
309,2,1980.5,2239.0,16.98,17.0,17.0
310,4,316.0,-24.8,15.89,47.7,36.3
311,2,3847.5,717.0,24.36,24.4,24.4
313,2,117.5,-79.0,21.88,21.9,21.9
315,2,155.0,-26.0,4.92,4.9,4.9
316,6,1250.8,-563.91,12.84,64.2,29.8
324,3,2376.7,2102.0,18.74,37.5,34.7
325,2,376.0,-334.0,6.65,6.6,6.6
330,4,242.5,11.4,9.64,28.9,6.0
331,8,1776.4,-18.01,12.23,85.6,14.7
332,4,367.2,54.1,11.24,33.7,30.5
333,8,310.2,-21.81,8.5,59.5,29.2
334,3,303.0,134.0,9.96,19.9,16.6
336,2,228.0,62.0,3.35,3.4,3.4
337,6,224.7,-1.6,5.59,28.0,7.1
338,2,24801.5,-8797.0,22.15,22.2,22.2
345,3,127.0,6.0,3.78,7.6,5.6
347,6,1043.8,191.23,9.87,49.4,10.6
350,4,199.8,49.5,2.99,9.0,2.2
351,2,1954.0,1414.0,15.49,15.5,15.5
355,6,367.3,-21.14,10.71,53.6,14.6
356,5,313.4,-24.7,9.01,36.0,4.5
358,2,248.0,-70.0,5.69,5.7,5.7
360,6,438.7,-28.46,6.79,33.9,1.7
361,2,3180.5,-2613.0,19.25,19.3,19.3
362,6,478.7,-32.17,3.63,18.2,6.1
364,2,1091.5,125.0,10.8,10.8,10.8
366,2,878.0,1166.0,14.4,14.4,14.4
369,4,9465.8,3754.9,12.63,37.9,29.5
370,2,306.0,276.0,10.12,10.1,10.1
371,2,254.5,-205.0,10.31,10.3,10.3
372,2,3604.0,1840.0,14.05,14.1,14.1
373,6,6822.7,956.97,13.6,68.0,18.4
374,2,3866.0,1650.0,21.08,21.1,21.1
375,2,224.5,-191.0,5.46,5.5,5.5
376,2,152.0,-38.0,23.41,23.4,23.4
377,5,743.4,114.7,8.9,35.6,22.3
378,6,434.5,-134.71,6.21,31.1,22.9
379,3,370.0,-12.5,3.64,7.3,5.6
381,4,541.5,95.6,11.05,33.2,32.5
384,5,4817.2,478.8,6.33,25.3,19.1
387,3,276.0,-194.0,12.75,25.5,25.3
389,4,248.0,-71.2,8.43,25.3,7.3
390,2,207.5,-111.0,7.83,7.8,7.8
391,2,215.5,7.0,11.01,11.0,11.0
392,4,235.8,0.5,7.84,23.5,3.9
394,4,126.0,2.2,7.74,23.2,4.7
396,4,149.0,-54.8,6.79,20.4,4.1
397,2,407.5,-67.0,7.25,7.3,7.3
398,2,10777.0,-20646.0,26.65,26.7,26.7
399,4,532.0,30.6,11.58,34.7,1.6
400,3,3092.7,-1061.0,6.59,13.2,12.3
401,2,15515.0,-1422.0,4.81,4.8,4.8
402,3,3791.0,1109.5,22.35,44.7,34.4
403,3,601.7,50.5,14.67,29.3,10.2
405,3,3914.0,837.0,9.06,18.1,12.2
406,2,383.5,535.0,30.69,30.7,30.7
407,2,1066.5,-875.0,22.03,22.0,22.0
408,2,743.0,-416.0,12.17,12.2,12.2
409,2,1020.5,-481.0,16.37,16.4,16.4
411,2,334.5,-325.0,8.94,8.9,8.9
412,3,1318.3,-95.0,6.45,12.9,5.3
413,2,390.5,-371.0,10.8,10.8,10.8
414,3,349.7,95.0,5.53,11.1,3.8
415,2,1041.5,-1269.0,12.18,12.2,12.2
418,3,291.3,145.0,7.48,15.0,11.5
419,2,564.0,-514.0,14.05,14.1,14.1
429,2,16050.5,31727.0,32.99,33.0,33.0
430,2,359.0,290.0,2.27,2.3,2.3
431,3,220.3,-46.0,3.46,6.9,6.2
434,3,971.0,-262.0,7.65,15.3,15.2
438,3,6254.0,-1401.0,10.14,20.3,16.1
439,3,352.0,182.5,8.43,16.9,4.2
441,2,1180.5,-561.0,7.14,7.1,7.1
442,2,935.0,-436.0,17.3,17.3,17.3
443,2,172.0,80.0,13.13,13.1,13.1
444,2,2013.5,965.0,13.3,13.3,13.3
445,3,7102.0,-136.5,3.89,7.8,1.9
447,2,1913.5,539.0,13.7,13.7,13.7
450,3,407.7,142.0,9.19,18.4,15.1
453,2,889.0,-508.0,12.79,12.8,12.8
455,2,186.0,36.0,9.61,9.6,9.6
456,2,341.5,-9.0,9.17,9.2,9.2
459,2,4603.0,-332.0,24.26,24.3,24.3
461,2,199.0,-4.0,9.15,9.1,9.1
468,2,476.5,425.0,25.59,25.6,25.6
469,2,213.5,79.0,8.57,8.6,8.6
